id_lugar;nombre_lugar
1;Museo del Louvre
2;Galería Uffizi
3;La basílica de San Pedro
4;Museos Vaticanos
5;Royal Academy of Arts
6;Basílica de Santa María del Popolo
7;El Museo de Bellas Artes de Nancy
8;Museo de la Ópera del duomo
9;Santa María del Fiore
10;Piazza di Floros
11;Piazza Navona
12;Iglesia de Santa María de la Victoria
13;Piazza della Minerva
14;Piazza San Pietro
15;Galería Borghese
16;Museo de la ciudad de Bruselas
17;Santa Maria delle Grazie
18;Galería de la Academia
19;San Pietro in Vincoli
20;Capilla Sixtina
21;Galería de Pinturas de los Maestros Antiguos
22;Museo Condé
